rowname curveNumber pointNumber    x     y
451           0        1328 2143 -1586
452           0        1330 2401 -1886
453           0        1333 2487 -2859
454           0        1334 2336 -1624
455           0        1335 2121 -1024
456           0        1336 2574 -3159
457           0        1337 2164 -1474
458           0        1343 2595 -2223
459           0        1345 2164  -950
460           0        1346 2487 -3084
461           0        1349 2875 -2859
462           0        1351 2250 -1923
463           0        1352 2595 -3196
464           0        1355 2229 -2485
465           0        1359 2143 -2710
466           0        1364 2379 -1474
467           0        1368 2272 -3159
468           0        1372 2251 -2672
469           0        1376 2229 -2859
470           0        1380 2315 -1886
471           0        1384 2186 -1661
472           0        1390 2186  -912
473           0        1393 2293 -1249
474           0        1409 2466 -1174
475           0        1410 2186 -1511
476           0        1412 2552 -2672
477           0        1414 2100 -1436
478           0        1416 2078 -1699
479           0        1420 2207 -2373
480           0        1425 2250 -2073
481           0        1428 2595 -3121
482           0        1431 2336 -1549
483           0        1435 2143 -1811
484           0        1439 2164 -1699
485           0        1444 2208 -3122
486           0        1446 2121 -1549
487           0        1450 2293 -1474
488           0        1451 2078  -950
489           0        1452 2121 -2148
490           0        1455 2466 -2373
491           0        1457 2358 -2710
492           0        1459 2358 -1736
493           0        1462 2595 -2747
494           0        1463 2035 -1773
495           0        1467 2487 -2710
496           0        1473 2143 -2485
497           0        1474 2272 -2335
498           0        1477 2337 -2298
499           0        1481 2035  -950
500           0        1484 2422 -1024
501           0        1486 2358 -2784
502           0        1488 2315 -2185
503           0        1490 2100 -1062
504           0        1491 2251 -3047
505           0        1493 2057  -762
506           0        1494 2272 -1212
507           0        1495 2337 -1773
508           0        1500 2250  -800
509           0        1502 2466 -2073
510           0        1504 2186 -2635
511           0        1510 2207 -1773
512           0        1512 2379  -725
513           0        1513 2294 -2897
514           0        1516 2164 -1848
515           0        1519 2121  -875
516           0        1524 2358 -2934
517           0        1528 2078 -1998
518           0        1530 2057 -1287
519           0        1534 2164 -1549
520           0        1536 2164 -2148
521           0        1543 2595 -2972
522           0        1548 2294 -2223
523           0        1553 2272 -1511
524           0        1560 2380 -2897
525           0        1563 2100 -1886
526           0        1565 2337 -2672
527           0        1570 2272 -1361
528           0        1583 2423 -2447
529           0        1586 2423 -2298
530           0        1587 2336  -950
531           0        1590 2164 -1324
532           0        1592 2379 -1249
533           0        1594 2401 -2859
534           0        1595 2337 -2972
535           0        1596 2208 -2522
536           0        1600 2164 -2373
537           0        1603 2380 -2822
538           0        1604 2466 -1549
539           0        1624 2164 -1099
540           0        1625 2272 -3009
541           0        1626 2595 -2672
542           0        1629 2208 -2972
543           0        1632 2229 -3009
544           0        1633 2121 -1099
545           0        1637 2250 -1698
546           0        1638 2444 -1436
547           0        1639 2121 -1474
548           0        1640 2530 -2635
549           0        1641 2315 -1511
550           0        1643 2444 -2335
551           0        1646 2466 -2522
552           0        1650 2380 -3047
553           0        1651 2487 -2784
554           0        1652 2293 -1923
555           0        1653 2207 -1549
556           0        1660 2207 -1174
557           0        1661 2509 -2747
558           0        1662 2444 -1661
559           0        1667 2229 -1811
560           0        1673 2444 -2110
561           0        1677 2143  -762
562           0        1686 2487 -1661
563           0        1689 2186 -3159
564           0        1692 2272 -1137
565           0        1697 2509 -2822
566           0        1699 2315 -2485
567           0        1707 2358 -1062
568           0        1708 2143 -1436
569           0        1710 2444 -1736
570           0        1713 2229 -2335
571           0        1716 2810 -2822
572           0        1718 2057  -912
573           0        1729 2617 -3084
574           0        1730 2423 -2597
575           0        1733 2078 -2073
576           0        1737 2358 -1436
577           0        1741 2617 -3009
578           0        1742 2379  -875
579           0        1744 2251 -3122
580           0        1753 2315 -2859
581           0        1754 2186 -2934
582           0        1755 2186  -987
583           0        1756 2509 -1624
584           0        1757 2337 -2822
585           0        1761 2703 -3009
586           0        1763 2078 -1474
587           0        1769 2552 -3196
588           0        1774 1992 -1174
589           0        1775 2100 -1961
590           0        1777 2229  -987
591           0        1778 2853 -2822
592           0        1785 2186 -1586
593           0        1786 2509 -2298
594           0        1787 2121 -2073
595           0        1789 2487 -1361
596           0        1790 2530 -3159
597           0        1791 2444 -2784
598           0        1793 2530 -2260
599           0        1794 2293 -1399
600           0        1795 2186 -2859
601           0        1798 2186 -2036
602           0        1803 2315  -762
603           0        1805 2423 -2148
604           0        1807 2358 -2410
605           0        1814 2100 -2185
606           0        1816 2229 -2785
607           0        1818 2358 -3084
608           0        1819 2509 -2447
609           0        1821 2293 -1024
610           0        1825 2250 -1249
611           0        1827 2078 -1549
612           0        1829 2444 -2485
613           0        1831 2272 -1811
614           0        1832 2035 -1324
615           0        1839 2164 -2298
616           0        1844 2401 -2934
617           0        1849 2509 -1399
618           0        1852 2208 -3047
619           0        1854 2401 -2710
620           0        1855 2294 -2972
621           0        1856 2250 -2148
622           0        1857 2057 -1062
623           0        1858 2380 -2597
624           0        1863 2423 -2073
625           0        1864 2186 -2410
626           0        1865 2401 -1586
627           0        1866 2164 -2223
628           0        1867 2509 -2597
629           0        1868 2078 -1848
630           0        1870 2100 -1511
631           0        1873 2336 -1099
632           0        1875 2380 -1998
633           0        1876 2444 -1511
634           0        1881 2487 -1586
635           0        1882 2164 -1624
636           0        1888 2423 -1698
637           0        1891 2337 -1848
638           0        1892 2401  -912
639           0        1895 2207 -1024
640           0        1900 2186 -1436
641           0        1901 2638 -3047
642           0        1905 2358 -3009
643           0        1907 2595 -2522
644           0        1912 2315 -2560
645           0        1913 2337 -2897
646           0        1915 2315 -2635
647           0        1919 2315 -1811
648           0        1920 2207 -1624
649           0        1923 2121 -1399
650           0        1925 2014 -1062
651           0        1927 2250 -1099
652           0        1932 2143 -2260
653           0        1941 2552 -2822
654           0        1943 2315 -2260
655           0        1944 2423 -1998
656           0        1957 2229 -1137
657           0        1960 2014 -1362
658           0        1964 2530 -2710
659           0        1965 2143 -2560
660           0        1970 2294 -2073
661           0        1971 2078  -800
662           0        1972 2208 -2897
663           0        1973 2573 -2859
664           0        1974 2530 -2110
665           0        1979 2336  -725
666           0        1980 2337 -2522
667           0        1982 2401 -3159
668           0        1984 2229 -1586
669           0        1986 2078 -1399
670           0        1987 2380 -1923
671           0        1988 2552 -2747
672           0        1994 2746 -2859
673           0        1996 2466 -2298
674           0        1998 2250 -1399
675           0        2002 2229 -1961
676           0        2006 2143 -1212
677           0        2008 2423 -1474
678           0        2010 2638 -2897
679           0        2013 2035  -800
680           0        2015 2315 -2710
681           0        2016 2014  -987
682           0        2021 2444 -1287
683           0        2024 2207  -950
684           0        2027 2380 -1549
685           0        2029 2057 -1586
686           0        2034 2229  -912
687           0        2035 2100 -2110
688           0        2036 2229 -2036
689           0        2037 2487 -1137
690           0        2038 2401 -1736
691           0        2039 2401 -2635
692           0        2041 2337 -2073
693           0        2045 2251 -2223
694           0        2049 2143 -1736
695           0        2054 1992  -800
696           0        2055 2229 -1736
697           0        2059 2207 -2073
698           0        2060 2423 -2373
699           0        2061 1992 -1024
700           0        2062 2422 -1174
701           0        2067 2250 -1998
702           0        2069 2229 -2185
703           0        2075 2272  -912
704           0        2079 2315 -1586
705           0        2084 2186 -2260
706           0        2086 2100 -1811
707           0        2088 2552 -2148
708           0        2091 2078 -1099
709           0        2095 2466 -1773
710           0        2096 2509 -2073
711           0        2099 2057 -1212
712           0        2102 2251 -2373
713           0        2106 2315 -1212
714           0        2114 2617 -2859
715           0        2115 2552 -2897
716           0        2118 2681 -2822
717           0        2123 2229 -2410
718           0        2126 2229 -3084
719           0        2127 2143  -912
720           0        2130 2014 -1436
721           0        2133 2121 -1324
722           0        2135 1970  -762
723           0        2137 2315 -2410
724           0        2141 2423 -2672
725           0        2146 2035 -1474
